Country,Eigenvector centrality
United States,2.9940165697234136
Luxembourg,0.21550308705118879
United Kingdom,0.20787663226053354
Japan,0.1495259265983029
Cayman Islands,0.11313219453418978
Netherlands,0.10898475871455042
Canada,0.08922560765149423
China  P.R.: Mainland,0.07747497345305253
Germany,0.0630534202199534
France,0.04983914019807209
Switzerland,0.03848339227183303
Ireland,0.02988220890471899
Australia,0.024918073765046563
Norway,0.023927085183937453
Singapore,0.02154674260606012
Bermuda,0.020140495639644977
Sweden,0.014945060362013407
China  P.R.: Hong Kong,0.014741652993056853
Belgium,0.011955406168174195
Italy,0.011855489559680266
Korea  Republic of,0.011154307736858712
Denmark,0.010226393357709716
Spain,0.008359885405477246
Guernsey,0.0076245566812191
Virgin Islands  British,0.007450161624596018
United Arab Emirates,0.007238852296235824
Saudi Arabia,0.0048673882659024375
Hungary,0.004856329535293685
Israel,0.004848298563478867
Finland,0.004368007755181448
Taiwan Province of China,0.004293414579158832
Mexico,0.0033174441740514817
Austria,0.0029435813437902456
Jersey,0.0028800650968043833
Bahamas  The,0.002878071301648176
South Africa,0.0022795230012766688
Brazil,0.0021741183645607076
Malaysia,0.0019087437514935129
Argentina,0.001803228085411798
Chile,0.0016868138858569972
Kazakhstan,0.0015934685994987915
Colombia,0.0015243508584317673
New Zealand,0.0014711992303322256
Russian Federation,0.001434789423299387
Peru,0.0014059048402065484
Gibraltar,0.001236074456232418
Anguilla,0.0011367946128014578
India,0.0011062230277517054
Venezuela  Republica Bolivariana de,0.0009418678400908175
Portugal,0.0008147579985970332
Panama,0.0008051845281370439
Poland,0.0007349200608201401
Kuwait,0.00070730017067896
Thailand,0.0006934218911501925
Mauritius,0.000619475932678679
China  P.R.: Macao,0.0005964655579137318
Qatar,0.0005789593751197308
Oman,0.0005311819613256873
Barbados,0.00046928037375850183
Curacao & St. Maarten,0.0004501345424755488
Uruguay,0.00043254135518510067
Philippines,0.00043141895114086576
Isle of Man,0.0004178736327245247
Greece,0.0003784766797272153
Turkey,0.0003133920675711844
Iceland,0.0003128787793096703
Indonesia,0.0002811260221604882
Bahrain  Kingdom of,0.0002695853586895988
Egypt,0.00026881337428964183
Trinidad and Tobago,0.00026793542074064606
Lebanon,0.0002588705130542122
Czech Republic,0.0002452430070854033
Liechtenstein,0.00024317382344241445
Nigeria,0.00022690597062819128
Costa Rica,0.00017893048479468058
Brunei Darussalam,0.00016478307515896545
Ecuador,0.00016468243411862568
Dominican Republic,0.00015658631061682052
Cyprus,0.00014561915881205022
Jordan,0.00014170564082532341
Bolivia,0.0001370076150623754
Vietnam,0.00012961354857554992
Slovenia,0.00012240983268711736
Monaco,0.0001215431045714531
Honduras,0.00010880106013024313
Marshall Islands  Republic of,0.00010445092909184005
Libya,0.00010434336948139005
St. Kitts and Nevis,0.0001027338283788079
Malta,9.703535679278504e-05
Bangladesh,9.652232893480158e-05
Azerbaijan  Republic of,9.352352682994743e-05
Guatemala,9.29676418042721e-05
Slovak Republic,8.888252637804222e-05
Ukraine,8.637789148818036e-05
Angola,8.263450082492179e-05
Andorra,7.479416774099e-05
Tunisia,6.817620238594322e-05
Bulgaria,6.689041563581279e-05
El Salvador,5.936181702835246e-05
Latvia,5.7208262376777834e-05
Botswana,5.4938296636864386e-05
Liberia,5.2861730860448544e-05
Estonia,4.895270305416464e-05
Belize,4.8781309966792115e-05
Morocco,4.852350227494868e-05
Paraguay,4.83949977037497e-05
Namibia,4.503053751218521e-05
Kenya,4.0932146078419096e-05
